Sample,Rock Type,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,Total
1780SSW-33,VOL,52.10,0.95,17.80,8.64,5.99,9.57,3.03,0.63,98.71
1957-12c,VOL,52.10,1.02,17.80,8.82,5.69,9.52,3.06,0.66,98.67
JK 286,VOL,52.12,1.06,17.27,9.06,5.75,9.46,3.09,0.66,98.47
130108_03D,VOL,52.15,1.57,18.18,9.90,3.36,6.81,3.61,0.91,96.50
130130_05Bi,VOL,52.16,1.27,17.59,9.67,4.47,8.78,3.70,0.59,98.24
1640S-252,VOL,52.20,1.01,17.80,8.91,5.80,9.52,2.83,0.61,98.68
130108_02A,VOL,52.21,1.29,19.03,8.98,3.57,7.99,3.54,0.78,97.40
PU-05-27,VOL,52.21,0.96,17.62,9.40,6.31,9.40,3.03,0.69,99.61
098(a),VOL,52.24,0.90,18.86,9.43,4.83,9.97,2.98,0.49,99.70
FB240314-2,VOL,52.25,1.03,18.11,9.93,4.02,7.82,3.70,0.52,97.38
CLD241F,VOL,52.25,0.99,18.52,8.78,5.14,9.18,3.17,0.66,98.68
JK 224,VOL,52.30,0.94,19.75,7.68,3.75,10.56,3.11,0.48,98.57
FB240314-5,VOL,52.32,1.01,18.14,9.92,4.04,7.79,3.71,0.52,97.45
JK 268,VOL,52.33,1.09,17.72,9.29,6.24,9.79,3.01,0.59,100.06
151282-08,VOL,52.36,0.89,19.82,7.71,4.04,10.41,3.11,0.48,98.82
161282-04,VOL,52.36,0.89,20.45,7.33,4.09,10.63,3.24,0.48,99.47
032(a),VOL,52.36,0.92,21.06,8.14,3.14,10.35,3.19,0.53,99.69
PU-05-37,VOL,52.38,1.00,17.97,9.94,4.90,9.42,3.32,0.73,99.66
120306/02A,VOL,52.39,1.00,19.11,8.38,4.74,9.53,3.02,0.56,98.74
120306/02A,VOL,52.39,1.00,19.11,8.38,4.74,9.53,3.02,0.56,98.74
1852-76,VOL,52.40,1.18,17.50,9.27,5.16,9.11,3.20,0.74,98.56
CLD324A,VOL,52.40,1.08,18.06,9.38,4.73,8.94,3.35,0.67,98.61
PU-02-10,VOL,52.41,0.99,17.52,9.44,6.03,9.60,3.02,0.61,99.62
F3,VOL,52.41,1.14,17.68,10.15,5.23,9.24,3.05,0.71,99.61
126791,VOL,52.42,1.19,17.97,10.61,4.56,8.21,3.98,0.47,99.41
C177,VOL,52.44,1.44,16.14,11.25,4.39,8.55,3.76,0.61,98.58
1971 09,VOL,52.47,1.11,16.71,9.67,6.10,9.61,3.06,0.65,99.38
